Name,WorkId,DisplayName,WorkCategory,TotalWork,BaseWorkRate,MaxWorkers,bPageSpecificJob,SiteTag,Costs,Rewards,PrimarySkillId,XPPerSecond,XPFactor
Construct_Orchard,Construct_Orchard,Construct Orchard,Construction,18,1,2,FALSE,Build,"((ResourceId=""EP"",Amount=20),(ResourceId=""Wood"",Amount=25))",(),Construction,1.2,1
Construct_DetentionRoom,Construct_DetentionRoom,Construct Detention Room,Construction,16,1,2,FALSE,Build,"((ResourceId=""EP"",Amount=15),(ResourceId=""Wood"",Amount=25),(ResourceId=""Stone"",Amount=10))",(),Construction,1.1,1
Construct_Workbench,Construct_Workbench,Construct Workbench,Construction,12,1,2,FALSE,Build,"((ResourceId=""EP"",Amount=15),(ResourceId=""Wood"",Amount=12))",(),Construction,1,1
Construct_Quarry,Construct_Quarry,Construct Quarry,Construction,30,1,3,FALSE,Build,"((ResourceId=""Stone_Attribute"",Amount=10),(ResourceId=""Stone"",Amount=100),(ResourceId=""Wood"",Amount=50))",(),Construction,1.5,1.1
Construct_Inn,Construct_Inn,Construct Inn,Construction,8,1,1,FALSE,Build,(),(),Construction,0.8,1
Construct_EP_Altar,Construct_EP_Altar,Construct EP Altar,Construction,10,1,1,FALSE,Build,(),(),Construction,0.9,1
Construct_Small_Storage,Construct_Small_Storage,Construct Small Storage,Construction,8,1,1,FALSE,Build,(),(),Construction,0.82,1.02
Gather_Wood,Gather_Wood,Gather Wood,Gather,6,1,1,FALSE,Gather,(),"((ResourceId=""Wood"",Amount=12))",Gathering,0.74,1.02
Gather_Stone,Gather_Stone,Gather Stone,Gather,4,1,1,FALSE,Gather,(),"((ResourceId=""Stone"",Amount=10))",Gathering,0.66,1.02
Mine_Wood,Mine_Wood,Lumberyard Production,Gather,8,1,3,FALSE,Lumbering,(),"((ResourceId=""Wood"",Amount=16))",Lumbering,0.85,1.05
Mine_Stone,Mine_Stone,Quarry Production,Gather,8,1,3,FALSE,Quarrying,(),"((ResourceId=""Stone"",Amount=14))",Mining,0.85,1.05
Mine_Copper,Mine_Copper,Copper Mine Production,Gather,10,1,3,FALSE,CopperMining,(),"((ResourceId=""Copper"",Amount=6))",Mining,0.95,1.08
Mine_Gold,Mine_Gold,Gold Mine Production,Gather,12,1,3,FALSE,GoldMining,(),"((ResourceId=""Gold"",Amount=3))",Mining,1.05,1.10
Mine_Iron,Mine_Iron,Iron Mine Production,Gather,12,1,3,FALSE,IronMining,(),"((ResourceId=""Iron"",Amount=6))",Mining,1.00,1.10
Mine_Coal,Mine_Coal,Coal Mine Production,Gather,10,1,3,FALSE,CoalMining,(),"((ResourceId=""Coal"",Amount=8))",Mining,0.95,1.08
Craft_Ration,Craft_Ration,Craft Ration,Craft,5,1,1,FALSE,None,"((ResourceId=""Food"",Amount=5))","((ItemId=""Ration"",Amount=1))",Cooking,0.8,1
Research_BasicCrafting,Research_BasicCrafting,Basic Crafting,Research,12,1,2,FALSE,Research,"((ResourceId=""EP"",Amount=25),(ResourceId=""Soil_Attribute"",Amount=2))",(),Research,1,1
Research_StoneMasonry,Research_StoneMasonry,Stone Masonry,Research,18,1,2,FALSE,Research,"((ResourceId=""EP"",Amount=40),(ResourceId=""Stone"",Amount=15),(ResourceId=""Stone_Attribute"",Amount=5))",(),Research,1,1
Research_CopperProspecting,Research_CopperProspecting,Copper Prospecting,Research,28,1,2,FALSE,Research,"((ResourceId=""EP"",Amount=60),(ResourceId=""Copper_Attribute"",Amount=5),(ResourceId=""Stone"",Amount=25))",(),Research,1.1,1.02
Research_GoldProspecting,Research_GoldProspecting,Gold Prospecting,Research,32,1,2,FALSE,Research,"((ResourceId=""EP"",Amount=75),(ResourceId=""Gold_Attribute"",Amount=5),(ItemId=""CopperIngot"",Amount=3))",(),Research,1.15,1.04
