Name,ItemId,DisplayName,Description,ItemType,StackLimit,UnitWeight,UnitVolume,Icon,WorldPickupClass,PlacedBlockClass,InventoryActions,UseEffect,UseEffectMagnitude,bConsumeOnUse,CompatibleEquipmentSlots,ToolInteractionTags,SettlementResourceId,bConvertOnReturn,bTracksQuality
WoodBundle,WoodBundle,Wood Bundle,Raw wood carried out of a dungeon.,Material,100,0.20,1.00,,,,,None,0,TRUE,,,Wood,TRUE,FALSE
StoneChunk,StoneChunk,Stone Chunk,Raw stone carried out of a dungeon.,Material,100,0.35,0.80,,,,,None,0,TRUE,,,Stone,TRUE,FALSE
StoneBlock,StoneBlock,Stone Block,A test placeable stone block.,Material,100,1.00,1.00,,,/Game/Blueprints/BP_StoneChunkBlock.BP_StoneChunkBlock_C,(Place),None,0,TRUE,,,,FALSE,FALSE
Ration,Ration,Ration,A basic meal that restores a little health. Quality support is reserved for the meal system.,Consumable,20,0.25,0.40,,,,(Use),RestoreHealth,10,TRUE,,,,FALSE,TRUE
CoreShard_Wood,CoreShard_Wood,Wood Core Shard,A dimensional core fragment required for permanent production unlocks.,CoreShard,1,2.00,3.00,,,,,None,0,TRUE,,,,FALSE,FALSE
Medkit,Medkit,Field Medkit,A test consumable that restores health.,Consumable,10,0.40,0.70,,,,(Use),RestoreHealth,35,TRUE,,,,FALSE,FALSE
TestPickaxe,TestPickaxe,Test Pickaxe,A test mining tool for harvesting stone blocks.,Equipment,1,3.00,3.00,,,,(Equip),None,0,TRUE,(RightHand),(Tool.Pickaxe),,FALSE,FALSE
TestKnife,TestKnife,Test Knife,A test one-handed item for the left hand slot.,Equipment,1,1.00,1.00,,,,(Equip),None,0,TRUE,(LeftHand),,,FALSE,FALSE
TestHelmet,TestHelmet,Test Helmet,A test head equipment item.,Equipment,1,2.00,2.00,,,,(Equip),None,0,TRUE,(Head),,,FALSE,FALSE
TestJacket,TestJacket,Test Jacket,A test upper-body equipment item.,Equipment,1,3.00,3.00,,,,(Equip),None,0,TRUE,(UpperBody),,,FALSE,FALSE
TestPants,TestPants,Test Pants,A test lower-body equipment item.,Equipment,1,2.00,2.00,,,,(Equip),None,0,TRUE,(LowerBody),,,FALSE,FALSE
TestBoots,TestBoots,Test Boots,A test footwear equipment item.,Equipment,1,1.00,1.00,,,,(Equip),None,0,TRUE,(Feet),,,FALSE,FALSE
